ID de l'athlète abonné(e),Statut d'abonnement,Créé à
21538339,Accepté,10 oct. 2017 à 12:22:07
25641915,Accepté,13 oct. 2017 à 12:23:34
21789627,Accepté,11 juin 2018 à 11:45:25
30034517,Accepté,13 juil. 2018 à 14:39:38
26259996,Accepté,2 janv. 2019 à 19:04:57
37812430,Accepté,4 janv. 2019 à 15:44:27
18732640,Accepté,19 avr. 2019 à 23:34:55
62719232,Accepté,5 juil. 2020 à 11:07:20
63339415,Accepté,8 juil. 2020 à 16:32:55
60113768,Accepté,9 juil. 2020 à 21:03:12
64097083,Accepté,18 juil. 2020 à 13:49:07
74655266,Accepté,3 janv. 2021 à 12:27:56
76766038,Accepté,23 janv. 2021 à 09:30:53
75164078,Accepté,28 juin 2021 à 12:36:02
73084112,Accepté,12 nov. 2021 à 17:28:51
