Nom de l'itinéraire,Nom de fichier de l'itinéraire
20211212  -100 km,routes/1.gpx
Aller Guérande - Piriac,routes/2.gpx
Saint Raphael - Esterel vélo route,routes/3.gpx
Saint  Raphael - Les Adrets 900m,routes/4.gpx
Saint Raphael - Le toit du var Mont Lachens,routes/5.gpx
Saint Raphael - les villes perchées,routes/6.gpx
Saint Raphael - L'arrière Pays 900m,routes/7.gpx
Saint Raphael - La corniche d'Or 750m,routes/8.gpx
Saint Raphael - premier tour 300m,routes/9.gpx
Saint Raphael - mer aux premiers contreforts 700m,routes/10.gpx
Alpes Mancelle,routes/11.gpx
Circuit des 25 bosses 20/08/2021,routes/12.gpx
Tour de Romain Bardet l'autre côté du pont !,routes/13.gpx
95 km / environ 1 000 m de D+,routes/14.gpx
20210523 - Aller Saint Cyr en Arthies,routes/15.gpx
Tour 80km 10km rayon à travailler,routes/16.gpx
20210101 - Premier tour de l'année Marais Salant,routes/17.gpx
20201013 - Tour rapide la Baule,routes/18.gpx
20200917 - Course 900 m de dénivelée +,routes/19.gpx
20200816 - Aller chez Frederic & Tamara,routes/20.gpx
20200809 - Retour,routes/21.gpx
20200809 - Traversée de l'ile,routes/22.gpx
100 km Saint Lyphard / Piriac / Le croisic,routes/23.gpx
Le pellerin - Saint Brevin les Pins,routes/24.gpx
20200725 - Aller jusqu'à Coueron,routes/25.gpx
Le croisic en passant par le golf de la Baule,routes/26.gpx
Tour le Croisic,routes/27.gpx
Saint Nazaire - Guipry,routes/28.gpx
Retour Buc - Rueil,routes/29.gpx
Aller Rueil Verrières par Buc,routes/30.gpx
800 m départ de Maisons Laffitte,routes/31.gpx
rueil Malmaison plus de 700m,routes/32.gpx
Rueil 850 m de dénivelé !,routes/33.gpx
Rueil plus de 700 m de dénivelé,routes/34.gpx
Saint Nazaire - La Romagne,routes/35.gpx
100 km,routes/36.gpx
Le croisic depuis la route des bassins,routes/37.gpx
Rueil Malmaison - Saint Cyr en Arthies,routes/38.gpx
Tour 31/03/2019,routes/39.gpx
Tour avec 550 m dénivelé,routes/40.gpx
Rueil ==> Verrrières,routes/41.gpx
Parcours Saint Nazaire - Le Croisic,routes/42.gpx
